Time (UTC),Open,High,Low,Close,Volume
2006.10.11 21:00:00,1.2516,1.2564,1.25083,1.25562,1668269.7
2006.10.12 21:00:00,1.25535,1.25784,1.24841,1.25141,1675291.8
2006.10.15 21:00:00,1.25181,1.25374,1.24875,1.25329,1669678.3
2006.10.16 21:00:00,1.25347,1.2567,1.25118,1.25444,1664189.3
2006.10.17 21:00:00,1.25423,1.25585,1.25016,1.25328,1671775.4
2006.10.18 21:00:00,1.2535,1.26424,1.25273,1.26218,1652688.6
2006.10.19 21:00:00,1.26257,1.26408,1.25991,1.26181,1668301.6
2006.10.22 21:00:00,1.26185,1.26223,1.25369,1.25491,1671411.7
2006.10.23 21:00:00,1.25516,1.25767,1.25236,1.2557,1673075.9
2006.10.24 21:00:00,1.25542,1.2622,1.25477,1.26025,1675770
2006.10.25 21:00:00,1.2604,1.27024,1.25951,1.26943,1657341.4
2006.10.26 21:00:00,1.26925,1.27495,1.26628,1.27413,1669312.8
2006.10.29 22:00:00,1.27313,1.27372,1.27006,1.27224,1677986
2006.10.30 22:00:00,1.27233,1.27818,1.26808,1.27613,1668083.7
2006.10.31 22:00:00,1.27614,1.27972,1.27427,1.27557,1672234.5
2006.11.01 22:00:00,1.27544,1.27846,1.27362,1.27765,1676635.9
2006.11.02 22:00:00,1.27773,1.27844,1.26837,1.27163,1672957.4
2006.11.05 22:00:00,1.27179,1.2727,1.26905,1.2722,1671677.7
2006.11.06 22:00:00,1.27206,1.28199,1.27187,1.27764,1649132
2006.11.07 22:00:00,1.27704,1.28071,1.27471,1.27567,1664333.5
2006.11.08 22:00:00,1.27559,1.28479,1.27484,1.28278,1668892.4
2006.11.09 22:00:00,1.28264,1.28973,1.28245,1.28392,1656506.1
2006.11.12 22:00:00,1.28437,1.28779,1.27956,1.28035,1669136
2006.11.13 22:00:00,1.28034,1.28706,1.27932,1.28092,1675565.9
2006.11.14 22:00:00,1.28083,1.28342,1.27736,1.28274,1667425.6
2006.11.15 22:00:00,1.28262,1.28371,1.27833,1.27959,1681594.3
2006.11.16 22:00:00,1.27941,1.2846,1.27603,1.28277,1655293
2006.11.19 22:00:00,1.28273,1.28514,1.28021,1.28163,1652943.2
2006.11.20 22:00:00,1.28146,1.28539,1.27988,1.28404,1666835.2
2006.11.21 22:00:00,1.28428,1.29564,1.28361,1.29429,1661697.8
2006.11.22 22:00:00,1.29421,1.29746,1.29248,1.29443,1668816.5
2006.11.23 22:00:00,1.29438,1.31059,1.29425,1.30936,1658513.8
2006.11.26 22:00:00,1.31633,1.31665,1.30872,1.31328,1660426.5
2006.11.27 22:00:00,1.31337,1.32076,1.31177,1.31987,1659218.6
2006.11.28 22:00:00,1.31976,1.32177,1.31339,1.31537,1613897.4
2006.11.29 22:00:00,1.31529,1.32745,1.31407,1.32406,1646394.6
2006.11.30 22:00:00,1.32414,1.33468,1.32201,1.33365,1675549
2006.12.03 22:00:00,1.33324,1.33663,1.32825,1.33415,1657295.3
2006.12.04 22:00:00,1.33403,1.33625,1.32892,1.33158,1672926.5
2006.12.05 22:00:00,1.33151,1.33412,1.32562,1.32881,1669630.2
2006.12.06 22:00:00,1.32854,1.33243,1.32725,1.3287,1663905.4
2006.12.07 22:00:00,1.32861,1.33626,1.31915,1.31999,1669151
2006.12.10 22:00:00,1.31779,1.32624,1.31297,1.32354,1666940.6
2006.12.11 22:00:00,1.32346,1.32917,1.32146,1.32838,1665821.4
2006.12.12 22:00:00,1.32831,1.32885,1.31925,1.32121,1666137.4
2006.12.13 22:00:00,1.32118,1.32519,1.31383,1.31423,1662407.7
2006.12.14 22:00:00,1.31422,1.31826,1.30606,1.30811,1661999.9
2006.12.17 22:00:00,1.30798,1.31171,1.30541,1.30964,1659973.7
2006.12.18 22:00:00,1.30963,1.32155,1.3081,1.31946,1668286.6
2006.12.19 22:00:00,1.31965,1.32447,1.31593,1.31714,1681278.4
2006.12.20 22:00:00,1.31719,1.32131,1.3143,1.31754,1686155
2006.12.21 22:00:00,1.31746,1.32126,1.31095,1.31267,1686271.8
2006.12.24 22:00:00,1.31205,1.31658,1.30986,1.3132,1692337.7
2006.12.25 22:00:00,1.31362,1.31442,1.30875,1.3096,1696225.9
2006.12.26 22:00:00,1.30951,1.31779,1.30929,1.31125,1669798.3
2006.12.27 22:00:00,1.31145,1.32012,1.31036,1.31486,1678901.1
2006.12.28 22:00:00,1.31462,1.32062,1.31364,1.31946,1693944.2
2006.12.31 22:00:00,1.31953,1.32105,1.31674,1.31963,1663209.2
2007.01.01 22:00:00,1.31975,1.32965,1.31971,1.32696,1686251.2
